purchase_amount,customer_rating,engagement_score,purchase_interest_score,customer_engagement_score,monthly_total_spend,monthly_avg_spend,avg_spent_last_3,transaction_id,customer_id_legacy,purchase_date,social_media_platform,review_sentiment
219.0,1.4,62.0,4.4,38.96,657.0,219.0,219.0,1033.0,141.0,2024-02-02,Facebook,Positive
219.0,1.4,73.0,4.2,45.48,657.0,219.0,219.0,1033.0,141.0,2024-02-02,Twitter,Positive
94.0,3.0,87.0,4.8,54.12,94.0,94.0,94.0,1034.0,191.0,2024-02-03,Facebook,Negative
111.0,2.9,77.0,3.65,47.66,1137.6785168937563,379.2261722979188,94.5,1035.0,159.0,2024-02-04,Unknown,Neutral
490.0,1.7,98.0,4.1,60.44,490.0,490.0,490.0,1036.0,179.0,2024-02-05,Instagram,Negative
183.0,2.7,77.0,3.65,47.66,183.0,183.0,312.5,1037.0,114.0,2024-02-06,Unknown,Neutral
333.0,2.6,76.0,3.9,47.16,807.5514882487859,201.8878720621965,333.0,1038.0,161.0,2024-02-07,Facebook,Negative
77.0,3.0,76.0,3.9,47.16,807.5514882487859,201.8878720621965,205.0,1039.0,161.0,2024-02-08,Facebook,Negative
157.0,3.5,85.0,3.9,52.56,157.0,157.0,157.0,1040.0,146.0,2024-02-09,Instagram,Negative
93.0,1.2,76.0,3.9,47.16,807.5514882487859,201.8878720621965,167.66666666666666,1041.0,161.0,2024-02-10,Facebook,Negative
389.0,3.0,68.0,1.2,41.28,566.0,283.0,389.0,1042.0,150.0,2024-02-11,Instagram,Negative
335.0,3.0,77.0,3.65,47.66,660.5237592370468,330.2618796185234,335.0,1043.0,154.0,2024-02-12,Unknown,Neutral
495.0,3.0,57.0,3.8,35.72,990.0,495.0,311.6666666666667,1044.0,163.0,2024-02-13,Facebook,Negative
495.0,3.0,98.0,2.1,59.64,990.0,495.0,403.3333333333333,1044.0,163.0,2024-02-13,LinkedIn,Negative
380.0,4.4,77.0,3.65,47.66,380.0,380.0,240.5,1045.0,102.0,2024-02-14,Unknown,Neutral
177.0,3.6,68.0,1.2,41.28,566.0,283.0,283.0,1046.0,150.0,2024-02-15,Instagram,Negative
397.0,1.7,51.0,4.8,32.52,1169.7209214037698,389.9069738012566,397.0,1047.0,106.0,2024-02-16,LinkedIn,Neutral
280.0,1.3,77.0,3.65,47.66,280.0,280.0,253.33333333333331,1048.0,120.0,2024-02-17,Unknown,Neutral
239.0,3.6,77.0,3.65,47.66,462.54314412289193,231.271572061446,239.0,1049.0,172.0,2024-02-18,Unknown,Neutral
274.0,1.1,75.0,4.6,46.84,822.0,274.0,274.0,1050.0,138.0,2024-02-19,TikTok,Neutral
274.0,1.1,95.0,3.7,58.48,822.0,274.0,274.0,1050.0,138.0,2024-02-19,Facebook,Positive
274.0,1.1,77.0,3.2,47.48,822.0,274.0,274.0,1050.0,138.0,2024-02-19,LinkedIn,Positive
434.0,3.3,77.0,3.65,47.66,888.1361995940433,444.06809979702166,434.0,1051.0,117.0,2024-02-20,Unknown,Neutral
426.0,4.8,89.0,4.0,55.0,426.0,426.0,426.0,1052.0,103.0,2024-02-21,LinkedIn,Negative
332.0,3.3,60.0,4.3,37.72,332.0,332.0,312.0,1053.0,188.0,2024-02-22,Instagram,Positive
495.0,2.6,77.0,3.65,47.66,1137.6785168937563,379.2261722979188,228.0,1054.0,159.0,2024-02-23,Unknown,Neutral
170.0,3.6,85.0,3.9,52.56,170.0,170.0,170.0,1055.0,113.0,2024-02-24,Instagram,Negative
165.0,2.8,77.0,3.65,47.66,165.0,165.0,165.0,1056.0,108.0,2024-02-25,Unknown,Neutral
282.0,3.2,63.0,4.3,39.52,564.0,282.0,282.0,1057.0,189.0,2024-02-26,TikTok,Negative
282.0,3.2,78.0,3.9,48.36,564.0,282.0,282.0,1057.0,189.0,2024-02-26,Facebook,Negative
308.0,4.8,95.0,4.1,58.64,616.0,308.0,394.0,1058.0,152.0,2024-02-27,Facebook,Positive
308.0,4.8,81.0,4.2,50.28,616.0,308.0,351.0,1058.0,152.0,2024-02-27,Instagram,Positive
408.0,2.5,78.0,1.1,47.24,2040.0,408.0,264.0,1059.0,101.0,2024-02-28,Twitter,Negative
408.0,2.5,89.0,2.4,54.36,2040.0,408.0,336.0,1059.0,101.0,2024-02-28,LinkedIn,Neutral
408.0,2.5,81.0,4.6,50.44,2040.0,408.0,408.0,1059.0,101.0,2024-02-28,Instagram,Neutral
408.0,2.5,83.0,1.2,50.28,2040.0,408.0,408.0,1059.0,101.0,2024-02-28,TikTok,Negative
408.0,2.5,78.0,1.1,47.24,2040.0,408.0,408.0,1059.0,101.0,2024-02-28,Twitter,Negative
247.0,4.8,90.0,4.1,55.64,494.0,247.0,247.0,1060.0,183.0,2024-02-29,TikTok,Positive
247.0,4.8,72.0,5.0,45.2,494.0,247.0,247.0,1060.0,183.0,2024-02-29,TikTok,Positive
460.0,4.6,87.0,4.8,54.12,460.0,460.0,277.0,1061.0,191.0,2024-03-01,Facebook,Negative
186.0,1.8,77.0,3.65,47.66,186.0,186.0,264.0,1062.0,159.0,2024-03-02,Unknown,Neutral
367.0,1.3,66.0,2.1,40.440000000000005,367.0,367.0,367.0,1063.0,170.0,2024-03-03,Twitter,Positive
214.0,1.4,77.0,3.65,47.66,649.0,324.5,214.0,1064.0,143.0,2024-03-04,Unknown,Neutral
274.0,1.1,77.0,3.65,47.66,831.8086297271818,277.2695432423939,274.0,1065.0,107.0,2024-03-05,Unknown,Neutral
356.0,1.4,85.0,3.9,52.56,356.0,356.0,256.5,1066.0,146.0,2024-03-06,Instagram,Negative
283.0,3.7,83.0,1.4,50.36,849.0,283.0,283.0,1067.0,134.0,2024-03-07,Facebook,Positive
283.0,3.7,56.0,3.0,34.800000000000004,849.0,283.0,283.0,1067.0,134.0,2024-03-07,Instagram,Positive
283.0,3.7,92.0,3.6,56.63999999999999,849.0,283.0,283.0,1067.0,134.0,2024-03-07,Instagram,Positive
221.0,1.3,90.0,4.1,55.64,881.791311623825,220.44782790595625,221.0,1068.0,177.0,2024-03-08,TikTok,Positive
221.0,1.3,72.0,5.0,45.2,881.791311623825,220.44782790595625,221.0,1068.0,177.0,2024-03-08,TikTok,Positive
201.0,2.3,87.0,3.0,53.4,402.189872712544,201.094936356272,201.0,1069.0,180.0,2024-03-09,LinkedIn,Positive
364.0,3.0,54.0,4.5,34.2,364.0,364.0,364.0,1070.0,135.0,2024-03-10,Twitter,Neutral
423.0,1.1,87.0,3.0,53.4,423.0,423.0,423.0,1071.0,149.0,2024-03-11,LinkedIn,Positive
209.0,4.3,89.0,4.0,55.0,574.9584381820621,191.652812727354,317.5,1072.0,103.0,2024-03-12,LinkedIn,Negative
145.0,2.1,78.0,1.1,47.24,725.0,145.0,320.3333333333333,1073.0,101.0,2024-03-13,Twitter,Negative
145.0,2.1,89.0,2.4,54.36,725.0,145.0,232.66666666666663,1073.0,101.0,2024-03-13,LinkedIn,Neutral
145.0,2.1,81.0,4.6,50.44,725.0,145.0,145.0,1073.0,101.0,2024-03-13,Instagram,Neutral
145.0,2.1,83.0,1.2,50.28,725.0,145.0,145.0,1073.0,101.0,2024-03-13,TikTok,Negative
145.0,2.1,78.0,1.1,47.24,725.0,145.0,145.0,1073.0,101.0,2024-03-13,Twitter,Negative
282.0,1.5,53.0,4.0,33.4,1702.174955326433,283.69582588773886,282.0,1074.0,105.0,2024-03-14,TikTok,Neutral
282.0,1.5,96.0,3.2,58.88,1702.174955326433,283.69582588773886,282.0,1074.0,105.0,2024-03-14,TikTok,Neutral
229.0,3.8,77.0,3.65,47.66,1183.2957666613408,295.8239416653352,229.0,1075.0,153.0,2024-03-15,Unknown,Neutral
162.0,3.5,89.0,4.0,55.0,574.9584381820621,191.652812727354,265.6666666666667,1076.0,103.0,2024-03-16,LinkedIn,Negative
367.0,4.5,77.0,3.65,47.66,1183.2957666613408,295.8239416653352,298.0,1077.0,153.0,2024-03-17,Unknown,Neutral
491.0,3.9,52.0,4.9,33.16,491.0,491.0,411.5,1078.0,192.0,2024-03-18,Instagram,Positive
101.0,4.2,75.0,3.1,46.24,202.0,101.0,101.0,1079.0,162.0,2024-03-19,TikTok,Neutral
101.0,4.2,98.0,4.3,60.52,202.0,101.0,101.0,1079.0,162.0,2024-03-19,Facebook,Negative
317.0,2.1,77.0,3.65,47.66,317.0,317.0,375.5,1080.0,117.0,2024-03-20,Unknown,Neutral
344.0,3.0,63.0,4.3,39.52,688.0,344.0,302.6666666666667,1081.0,189.0,2024-03-21,TikTok,Negative
344.0,3.0,78.0,3.9,48.36,688.0,344.0,323.3333333333333,1081.0,189.0,2024-03-21,Facebook,Negative
435.0,4.0,77.0,3.65,47.66,649.0,324.5,324.5,1082.0,143.0,2024-03-22,Unknown,Neutral
436.0,4.2,77.0,3.65,47.66,436.0,436.0,436.0,1083.0,133.0,2024-03-23,Unknown,Neutral
162.0,5.0,89.0,4.0,55.0,162.0,162.0,162.0,1084.0,173.0,2024-03-24,LinkedIn,Negative
150.0,2.7,76.0,3.9,47.16,293.8973534168081,146.94867670840404,106.66666666666669,1085.0,161.0,2024-03-25,Facebook,Negative
162.0,2.5,74.0,4.9,46.36,486.0,162.0,240.66666666666663,1086.0,199.0,2024-03-26,LinkedIn,Positive
162.0,2.5,53.0,1.5,32.4,486.0,162.0,201.33333333333331,1086.0,199.0,2024-03-26,LinkedIn,Neutral
162.0,2.5,68.0,3.5,42.2,486.0,162.0,162.0,1086.0,199.0,2024-03-26,TikTok,Negative
489.0,4.1,85.0,3.9,52.56,489.0,489.0,329.5,1087.0,113.0,2024-03-27,Instagram,Negative
130.0,2.4,77.0,3.65,47.66,130.0,130.0,130.0,1088.0,194.0,2024-03-28,Unknown,Neutral
236.0,3.0,77.0,3.65,47.66,692.2073587300265,230.73578624334215,236.0,1089.0,147.0,2024-03-29,Unknown,Neutral
162.0,4.4,77.0,3.65,47.66,162.0,162.0,262.3333333333333,1090.0,114.0,2024-03-30,Unknown,Neutral
51.0,2.7,77.0,3.65,47.66,51.0,51.0,153.5,1091.0,171.0,2024-03-31,Unknown,Neutral
179.0,4.0,90.0,4.1,55.64,358.0,179.0,207.0,1092.0,177.0,2024-04-01,TikTok,Positive
179.0,4.0,72.0,5.0,45.2,358.0,179.0,193.0,1092.0,177.0,2024-04-01,TikTok,Positive
269.0,4.0,56.0,2.6,34.64,807.0,269.0,375.6666666666667,1093.0,186.0,2024-04-02,TikTok,Positive
269.0,4.0,73.0,2.0,44.6,807.0,269.0,322.3333333333333,1093.0,186.0,2024-04-02,LinkedIn,Neutral
269.0,4.0,89.0,2.9,54.56,807.0,269.0,269.0,1093.0,186.0,2024-04-02,Instagram,Neutral
103.0,1.4,76.0,3.9,47.16,103.0,103.0,115.33333333333331,1094.0,161.0,2024-04-03,Facebook,Negative
392.0,4.6,77.0,3.65,47.66,392.0,392.0,392.0,1095.0,139.0,2024-04-04,Unknown,Neutral
273.0,3.0,77.0,3.65,47.66,273.0,273.0,273.0,1096.0,184.0,2024-04-05,Unknown,Neutral
274.0,4.3,98.0,4.1,60.44,274.0,274.0,382.0,1097.0,179.0,2024-04-06,Instagram,Negative
434.0,3.0,77.0,1.4,46.76,868.0,434.0,434.0,1098.0,181.0,2024-04-07,LinkedIn,Positive
434.0,3.0,65.0,1.3,39.52,868.0,434.0,434.0,1098.0,181.0,2024-04-07,Twitter,Positive
452.0,4.6,95.0,4.1,58.64,904.0,452.0,356.0,1099.0,152.0,2024-04-08,Facebook,Positive
452.0,4.6,81.0,4.2,50.28,904.0,452.0,404.0,1099.0,152.0,2024-04-08,Instagram,Positive
175.0,2.6,77.0,3.65,47.66,175.0,175.0,232.5,1100.0,123.0,2024-04-09,Unknown,Neutral
179.0,3.0,90.0,3.8,55.52,537.0,179.0,179.0,1101.0,125.0,2024-04-10,Instagram,Neutral
179.0,3.0,74.0,4.3,46.12,537.0,179.0,179.0,1101.0,125.0,2024-04-10,Instagram,Neutral
179.0,3.0,56.0,1.5,34.2,537.0,179.0,179.0,1101.0,125.0,2024-04-10,TikTok,Neutral
102.0,4.6,60.0,4.3,37.72,475.0,237.5,242.0,1102.0,188.0,2024-04-11,Instagram,Positive
221.0,1.4,77.0,3.65,47.66,221.0,221.0,300.6666666666667,1103.0,159.0,2024-04-12,Unknown,Neutral
267.0,2.3,92.0,2.4,56.16,267.0,267.0,267.0,1104.0,140.0,2024-04-13,Twitter,Neutral
209.0,4.8,63.0,3.3,39.12,209.0,209.0,209.0,1105.0,128.0,2024-04-14,LinkedIn,Positive
247.0,4.8,77.0,3.65,47.66,247.0,247.0,197.33333333333331,1106.0,114.0,2024-04-15,Unknown,Neutral
465.0,3.3,78.0,1.1,47.24,2325.0,465.0,465.0,1107.0,144.0,2024-04-16,Twitter,Negative
465.0,3.3,89.0,2.4,54.36,2325.0,465.0,465.0,1107.0,144.0,2024-04-16,LinkedIn,Neutral
465.0,3.3,81.0,4.6,50.44,2325.0,465.0,465.0,1107.0,144.0,2024-04-16,Instagram,Neutral
465.0,3.3,83.0,1.2,50.28,2325.0,465.0,465.0,1107.0,144.0,2024-04-16,TikTok,Negative
296.0,3.5,77.0,3.65,47.66,296.0,296.0,296.0,1108.0,164.0,2024-04-17,Unknown,Neutral
373.0,2.8,60.0,4.3,37.72,475.0,237.5,269.0,1109.0,188.0,2024-04-18,Instagram,Positive
488.0,3.0,66.0,2.1,40.440000000000005,488.0,488.0,427.5,1110.0,170.0,2024-04-19,Twitter,Positive
252.0,2.3,77.0,3.65,47.66,252.0,252.0,208.5,1111.0,108.0,2024-04-20,Unknown,Neutral
233.0,3.7,75.0,4.6,46.84,1611.0,268.5,381.6666666666667,1112.0,187.0,2024-04-21,TikTok,Neutral
233.0,3.7,95.0,3.7,58.48,1611.0,268.5,307.3333333333333,1112.0,187.0,2024-04-21,Facebook,Positive
233.0,3.7,77.0,3.2,47.48,1611.0,268.5,233.0,1112.0,187.0,2024-04-21,LinkedIn,Positive
172.0,4.0,77.0,3.65,47.66,350.4989671220012,175.2494835610006,172.0,1113.0,100.0,2024-04-22,Unknown,Neutral
450.0,4.2,77.0,3.65,47.66,871.0,435.5,362.0,1114.0,107.0,2024-04-23,Unknown,Neutral
304.0,4.2,75.0,4.6,46.84,1611.0,268.5,256.6666666666667,1115.0,187.0,2024-04-24,TikTok,Neutral
304.0,4.2,95.0,3.7,58.48,1611.0,268.5,280.3333333333333,1115.0,187.0,2024-04-24,Facebook,Positive
304.0,4.2,77.0,3.2,47.48,1611.0,268.5,304.0,1115.0,187.0,2024-04-24,LinkedIn,Positive
343.0,1.4,75.0,3.1,46.24,686.0,343.0,181.66666666666663,1116.0,162.0,2024-04-25,TikTok,Neutral
343.0,1.4,98.0,4.3,60.52,686.0,343.0,262.3333333333333,1116.0,162.0,2024-04-25,Facebook,Negative
329.0,3.0,93.0,3.5,57.2,658.0,329.0,329.0,1117.0,110.0,2024-04-26,LinkedIn,Neutral
329.0,3.0,99.0,3.1,60.64,658.0,329.0,329.0,1117.0,110.0,2024-04-26,TikTok,Positive
374.0,1.2,87.0,3.0,53.4,761.6994459505688,380.8497229752844,287.5,1118.0,180.0,2024-04-27,LinkedIn,Positive
421.0,3.2,77.0,3.65,47.66,871.0,435.5,381.6666666666667,1119.0,107.0,2024-04-28,Unknown,Neutral
147.0,2.8,83.0,1.4,50.36,1182.0,197.0,237.66666666666663,1120.0,134.0,2024-04-29,Facebook,Positive
147.0,2.8,56.0,3.0,34.800000000000004,1182.0,197.0,192.33333333333331,1120.0,134.0,2024-04-29,Instagram,Positive
147.0,2.8,92.0,3.6,56.63999999999999,1182.0,197.0,147.0,1120.0,134.0,2024-04-29,Instagram,Positive
247.0,4.6,83.0,1.4,50.36,1182.0,197.0,180.33333333333331,1121.0,134.0,2024-04-30,Facebook,Positive
247.0,4.6,56.0,3.0,34.800000000000004,1182.0,197.0,213.66666666666663,1121.0,134.0,2024-04-30,Instagram,Positive
247.0,4.6,92.0,3.6,56.63999999999999,1182.0,197.0,247.0,1121.0,134.0,2024-04-30,Instagram,Positive
444.0,2.4,77.0,3.65,47.66,752.0,376.0,253.0,1122.0,132.0,2024-05-01,Unknown,Neutral
289.0,1.5,60.0,4.3,37.72,698.0,349.0,289.0,1123.0,104.0,2024-05-02,Instagram,Positive
193.0,1.6,92.0,2.4,56.16,193.0,193.0,230.0,1124.0,140.0,2024-05-03,Twitter,Neutral
146.0,4.0,70.0,1.3,42.52,146.0,146.0,146.0,1125.0,127.0,2024-05-04,Twitter,Positive
250.0,3.5,51.0,4.8,32.52,250.0,250.0,323.5,1126.0,106.0,2024-05-05,LinkedIn,Neutral
173.0,1.4,77.0,3.65,47.66,173.0,173.0,206.0,1127.0,172.0,2024-05-06,Unknown,Neutral
236.0,1.3,77.0,3.65,47.66,487.4288254918217,243.7144127459109,181.0,1128.0,171.0,2024-05-07,Unknown,Neutral
375.0,3.8,93.0,3.5,57.2,750.0,375.0,375.0,1129.0,111.0,2024-05-08,LinkedIn,Neutral
375.0,3.8,99.0,3.1,60.64,750.0,375.0,375.0,1129.0,111.0,2024-05-08,TikTok,Positive
398.0,1.3,77.0,3.65,47.66,398.0,398.0,417.0,1130.0,133.0,2024-05-09,Unknown,Neutral
308.0,4.3,77.0,3.65,47.66,752.0,376.0,271.3333333333333,1131.0,132.0,2024-05-10,Unknown,Neutral
197.0,3.8,77.0,3.65,47.66,197.0,197.0,216.5,1132.0,147.0,2024-05-11,Unknown,Neutral
301.0,1.3,77.0,3.65,47.66,574.7248694122152,287.3624347061076,301.0,1133.0,122.0,2024-05-12,Unknown,Neutral
492.0,1.3,76.0,3.9,47.16,492.0,492.0,248.33333333333331,1134.0,161.0,2024-05-13,Facebook,Negative
469.0,4.9,75.0,4.6,46.84,1407.0,469.0,359.0,1135.0,187.0,2024-05-14,TikTok,Neutral
469.0,4.9,95.0,3.7,58.48,1407.0,469.0,414.0,1135.0,187.0,2024-05-14,Facebook,Positive
469.0,4.9,77.0,3.2,47.48,1407.0,469.0,469.0,1135.0,187.0,2024-05-14,LinkedIn,Positive
452.0,2.5,96.0,1.9,58.35999999999999,2690.544588665897,448.42409811098287,452.0,1136.0,136.0,2024-05-15,Twitter,Neutral
452.0,2.5,62.0,4.4,38.96,2690.544588665897,448.42409811098287,452.0,1136.0,136.0,2024-05-15,Facebook,Positive
452.0,2.5,73.0,4.2,45.48,2690.544588665897,448.42409811098287,452.0,1136.0,136.0,2024-05-15,Twitter,Positive
395.0,2.5,63.0,3.3,39.12,861.0,430.5,395.0,1137.0,198.0,2024-05-16,LinkedIn,Positive
196.0,4.3,77.0,3.65,47.66,196.0,196.0,281.6666666666667,1138.0,143.0,2024-05-17,Unknown,Neutral
197.0,4.8,77.0,3.65,47.66,411.5850103679427,205.79250518397131,197.0,1139.0,185.0,2024-05-18,Unknown,Neutral
401.0,4.9,72.0,1.9,43.96,1203.0,401.0,355.6666666666667,1140.0,190.0,2024-05-19,Twitter,Positive
401.0,4.9,71.0,4.8,44.52,1203.0,401.0,378.3333333333333,1140.0,190.0,2024-05-19,Twitter,Negative
401.0,4.9,52.0,2.7,32.28,1203.0,401.0,401.0,1140.0,190.0,2024-05-19,Instagram,Positive
248.0,4.0,83.0,1.4,50.36,744.0,248.0,247.33333333333331,1141.0,134.0,2024-05-20,Facebook,Positive
248.0,4.0,56.0,3.0,34.800000000000004,744.0,248.0,247.66666666666663,1141.0,134.0,2024-05-20,Instagram,Positive
248.0,4.0,92.0,3.6,56.63999999999999,744.0,248.0,248.0,1141.0,134.0,2024-05-20,Instagram,Positive
357.0,2.5,77.0,3.65,47.66,357.0,357.0,326.5,1142.0,164.0,2024-05-21,Unknown,Neutral
466.0,3.0,63.0,3.3,39.12,861.0,430.5,430.5,1143.0,198.0,2024-05-22,LinkedIn,Positive
473.0,4.1,85.0,3.9,52.56,473.0,473.0,328.6666666666667,1144.0,146.0,2024-05-23,Instagram,Negative
177.0,3.2,90.0,4.1,55.64,354.0,177.0,178.33333333333334,1145.0,177.0,2024-05-24,TikTok,Positive
177.0,3.2,72.0,5.0,45.2,354.0,177.0,177.66666666666666,1145.0,177.0,2024-05-24,TikTok,Positive
88.0,2.7,77.0,3.65,47.66,88.0,88.0,189.66666666666663,1146.0,102.0,2024-05-25,Unknown,Neutral
387.0,4.6,77.0,3.65,47.66,387.0,387.0,279.5,1147.0,100.0,2024-05-26,Unknown,Neutral
409.0,1.4,60.0,4.3,37.72,698.0,349.0,349.0,1148.0,104.0,2024-05-27,Instagram,Positive
